"Animal_Alliance_Environment_Voters_Party_of_Canada/Animal_Alliance_Environment_Voters_Party_of_Canada"	0	0	0	0	0	1257	0	0	0	0	0	87	0
"Bloc_Québécois/Bloc_Québécois"	0	0	0	0	891425	0	0	0	0	0	0	0	0
"Canadian_Action_Party/Parti_action_canadienne"	0	0	0	0	250	827	0	116	384	374	0	0	0
"Christian_Heritage_Party_of_Canada/Parti_de_l'Héritage_Chrétien_du_Canada"	0	87	375	450	859	9928	1315	0	3401	2495	0	0	0
"Communist_Party_of_Canada/Parti_communiste_du_Canada"	0	0	0	0	533	1266	270	0	346	479	0	0	0
"Conservative_Party_of_Canada/Parti_conservateur_du_Canada"	61562	32548	165818	170420	627961	2457463	262941	256167	932765	853272	5422	5001	3930
"First_Peoples_National_Party_of_Canada/First_Peoples_National_Party_of_Canada"	0	0	0	0	0	229	0	0	0	0	0	0	0
"Green_Party_of_Canada/Le_Parti_Vert_du_Canada"	1954	1895	17808	12317	80402	207435	17738	12045	73058	143769	3037	477	160
"Liberal_Party_of_Canada/Parti_libéral_du_Canada"	82344	32380	130577	87871	538447	1400302	81417	38743	129310	251263	5290	2872	2260
"Libertarian_Party_of_Canada/Parti_Libertarien_du_Canada"	0	0	0	0	0	3362	0	0	0	2640	0	0	0
"Marijuana_Party/Parti_Marijuana"	0	0	0	0	0	1756	0	0	0	0	0	0	0
"Marxist-Leninist_Party_of_Canada/Parti_Marxiste-Léniniste_du_Canada"	0	0	152	0	3509	3676	0	0	808	1780	0	0	0
"New_Democratic_Party/Nouveau_Parti_démocratique"	70868	12135	136620	115830	1630865	1417435	126639	147214	234730	609102	2308	7140	1525
"Pirate_Party_of_Canada/Parti_Pirate_du_Canada"	0	0	0	0	369	627	215	0	663	1323	0	0	0
"Progressive_Canadian_Party/Parti_Progressiste_Canadien"	0	0	0	0	0	3230	0	0	1754	806	0	0	0
"Rhinoceros_Party/Parti_Rhinocéros"	0	0	0	0	3251	0	0	0	345	204	0	0	0
"United_Party_of_Canada/Parti_Uni_du_Canada"	0	0	0	0	0	293	0	0	0	0	0	0	0
"Western_Block_Party/Western_Block_Party"	0	0	0	0	0	0	0	0	415	336	0	0	0
"Independent/Indépendant"	608	0	0	1850	23650	13295	684	809	17906	4573	0	0	0
"No_Affiliation/Aucune_appartenance"	0	0	0	0	169	9097	0	0	0	220	0	0	0
