208	95	60784.1	1	CON
209	74	60165.5	1	NDP
210	96	60157.4	1	CON
211	97	59543.6	1	CON
212	75	59373.8	1	NDP
213	98	58942.1	1	CON
214	76	58602.7	1	NDP
215	99	58352.7	1	CON
216	77	57851.4	1	NDP
217	100	57775	1	CON
218	101	57208.5	1	CON
219	78	57119.1	1	NDP
220	102	56653.1	1	CON
221	79	56405.1	1	NDP
222	103	56108.4	1	CON
223	80	55708.8	1	NDP
224	104	55574	1	CON
225	105	55049.7	1	CON
226	81	55029.4	1	NDP
227	106	54535.2	1	CON
228	82	54366.4	1	NDP
229	107	54030.3	1	CON
230	83	53719.2	1	NDP
231	108	53534.6	1	CON
232	84	53087.2	1	NDP
233	109	53047.9	1	CON
234	110	52570	1	CON
235	85	52469.9	1	NDP
236	111	52100.6	1	CON
237	86	51866.8	1	NDP
238	112	51639.6	1	CON
239	87	51277.4	1	NDP
240	113	51186.6	1	CON
241	114	50741.5	1	CON
242	88	50701.2	1	NDP
243	115	50304.1	1	CON
244	89	50137.9	1	NDP
245	116	49874.1	1	CON
246	90	49586.9	1	NDP
247	117	49451.4	1	CON
248	91	49047.9	1	NDP
249	118	49035.9	1	CON
250	119	48627.2	1	CON
251	92	48520.5	1	NDP
252	120	48225.4	1	CON
253	93	48004.4	1	NDP
254	121	47830.1	1	CON
255	94	47499.1	1	NDP
256	122	47441.2	1	CON
257	123	47058.6	1	CON
258	95	47004.3	1	NDP
259	124	46682.2	1	CON
260	96	46519.7	1	NDP
261	125	46311.7	1	CON
262	97	46045	1	NDP
263	126	45947	1	CON
264	127	45588	1	CON
265	98	45579.9	1	NDP
266	128	45234.7	1	CON
267	99	45124.1	1	NDP
268	129	44886.7	1	CON
269	100	44677.3	1	NDP
270	130	44544	1	CON
271	101	44239.3	1	NDP
272	131	44206.6	1	CON
273	132	43874.2	1	CON
274	102	43809.8	1	NDP
275	133	43546.8	1	CON
276	134	43224.2	1	CON
277	135	42906.4	1	CON
278	136	42593.2	1	CON
279	137	42284.6	1	CON
280	138	41980.4	1	CON
281	139	41680.5	1	CON
282	140	41384.9	1	CON
283	141	41093.5	1	CON
284	142	40806.1	1	CON
285	143	40522.7	1	CON
286	144	40243.2	1	CON
287	145	39967.6	1	CON
288	146	39695.7	1	CON
289	147	39427.5	1	CON
290	148	39162.9	1	CON
291	149	38901.8	1	CON
292	150	38644.2	1	CON
293	151	38389.9	1	CON
294	152	38139	1	CON
295	153	37891.4	1	CON
296	154	37646.9	1	CON
297	155	37405.6	1	CON
298	156	37167.3	1	CON
299	157	36932.1	1	CON
300	158	36699.8	1	CON
301	159	36470.4	1	CON
302	160	36243.9	1	CON
303	161	36020.2	1	CON
304	162	35799.2	1	CON
305	163	35580.9	1	CON
306	164	35365.3	1	CON
307	165	35152.2	1	CON
308	1	286048	0	GRN
309	2	190698	0	GRN
310	4	178285	0	BlQ
311	5	148571	0	BlQ
312	3	143024	0	GRN
313	0	129703	0	Oth
314	6	127346	0	BlQ
315	4	114419	0	GRN
316	7	111428	0	BlQ
317	0	99428	0	SPL
318	8	99047.2	0	BlQ
319	5	95349.2	0	GRN
320	9	89142.5	0	BlQ
321	6	81727.9	0	GRN
322	10	81038.6	0	BlQ
323	34	79516.5	0	LIB
324	35	77307.7	0	LIB
325	36	75218.3	0	LIB
326	11	74285.4	0	BlQ
327	37	73238.8	0	LIB
328	7	71511.9	0	GRN
329	38	71360.9	0	LIB
330	39	69576.9	0	LIB
331	12	68571.2	0	BlQ
332	40	67879.9	0	LIB
333	41	66263.7	0	LIB
334	1	64851.5	0	Oth
335	42	64722.7	0	LIB
336	13	63673.2	0	BlQ
337	8	63566.1	0	GRN
338	43	63251.7	0	LIB
339	44	61846.1	0	LIB
340	45	60501.7	0	LIB
341	14	59428.3	0	BlQ
342	46	59214.4	0	LIB
343	47	57980.8	0	LIB
344	9	57209.5	0	GRN
345	48	56797.5	0	LIB
346	15	55714.1	0	BlQ
347	49	55661.5	0	LIB
348	50	54570.1	0	LIB
349	51	53520.7	0	LIB
350	52	52510.9	0	LIB
351	16	52436.8	0	BlQ
352	10	52008.6	0	GRN
353	53	51538.4	0	LIB
354	54	50601.4	0	LIB
355	1	49714	0	SPL
356	55	49697.8	0	LIB
357	17	49523.6	0	BlQ
358	56	48825.9	0	LIB
359	57	47984.1	0	LIB
360	11	47674.6	0	GRN
361	58	47170.8	0	LIB
362	18	46917.1	0	BlQ
363	59	46384.6	0	LIB
364	60	45624.2	0	LIB
365	61	44888.3	0	LIB
