0	5.83527e+06	1	Con
0	4.51241e+06	1	NDP
1	2.91764e+06	1	Con
0	2.78308e+06	1	Lib
1	2.25621e+06	1	NDP
2	1.94509e+06	1	Con
2	1.50414e+06	1	NDP
3	1.45882e+06	1	Con
1	1.39154e+06	1	Lib
4	1.16705e+06	1	Con
3	1.1281e+06	1	NDP
5	972545	1	Con
2	927692	1	Lib
4	902482	1	NDP
0	891425	1	BlQ
6	833610	1	Con
5	752068	1	NDP
7	729409	1	Con
3	695769	1	Lib
8	648363	1	Con
6	644630	1	NDP
9	583527	1	Con
0	572095	1	Grn
7	564051	1	NDP
4	556615	1	Lib
10	530479	1	Con
8	501379	1	NDP
11	486272	1	Con
5	463846	1	Lib
9	451241	1	NDP
12	448867	1	Con
1	445712	1	BlQ
13	416805	1	Con
10	410219	1	NDP
6	397582	1	Lib
14	389018	1	Con
11	376034	1	NDP
15	364704	1	Con
7	347884	1	Lib
12	347109	1	NDP
16	343251	1	Con
17	324182	1	Con
13	322315	1	NDP
8	309231	1	Lib
18	307119	1	Con
14	300827	1	NDP
2	297142	1	BlQ
19	291764	1	Con
15	282026	1	NDP
9	278308	1	Lib
20	277870	1	Con
16	265436	1	NDP
21	265240	1	Con
22	253707	1	Con
10	253007	1	Lib
17	250690	1	NDP
23	243136	1	Con
18	237495	1	NDP
24	233411	1	Con
11	231923	1	Lib
19	225621	1	NDP
25	224433	1	Con
3	222856	1	BlQ
26	216121	1	Con
20	214877	1	NDP
12	214083	1	Lib
27	208402	1	Con
21	205110	1	NDP
28	201216	1	Con
13	198791	1	Lib
22	196192	1	NDP
29	194509	1	Con
30	188235	1	Con
23	188017	1	NDP
14	185538	1	Lib
31	182352	1	Con
24	180496	1	NDP
32	176826	1	Con
15	173942	1	Lib
25	173554	1	NDP
33	171626	1	Con
26	167126	1	NDP
34	166722	1	Con
16	163710	1	Lib
35	162091	1	Con
27	161158	1	NDP
36	157710	1	Con
28	155600	1	NDP
17	154615	1	Lib
37	153560	1	Con
29	150414	1	NDP
38	149622	1	Con
18	146478	1	Lib
39	145882	1	Con
30	145562	1	NDP
40	142324	1	Con
31	141013	1	NDP
19	139154	1	Lib
41	138935	1	Con
32	136740	1	NDP
42	135704	1	Con
33	132718	1	NDP
43	132620	1	Con
20	132527	1	Lib
44	129673	1	Con
34	128926	1	NDP
45	126854	1	Con
21	126503	1	Lib
